,kH,kHe,kHeII,hH,hHe,hHeII,nhH,nhHe,nhHeII
6.2,1425.28887252,5413.23707664,3818.26758315,3.24933419719e-06,1.40937735505e-05,0.000187922189359,5.14984764915,2.23371257563,0.0297836598627
6.4,1121.47733007,3883.24856766,2610.17469333,2.63876662403e-06,1.06934195964e-05,0.000181159107037,6.62828207882,2.68606555906,0.0455051102911
6.6,865.811334143,2738.30693067,1783.9655578,2.10907106831e-06,8.0233509989e-06,0.000172715567559,8.39636315502,3.19415356453,0.0687593059113
6.8,656.915870984,1905.14080676,1220.23795716,1.66225645837e-06,5.97180726694e-06,0.000162363062808,10.4881292082,3.7679556549,0.102444166951
7.0,489.00471665,1314.70842377,835.422206607,1.29162516327e-06,4.42488128087e-06,0.000149965142326,12.9162516327,4.42488128087,0.149965142326
7.2,356.371677322,904.310911713,572.44530535,9.89164183266e-07,3.27308161814e-06,0.000135559276811,15.6771958028,5.18748477496,0.214846974992
7.4,254.446723612,621.784599594,392.523549643,7.47760326404e-07,2.42041697225e-06,0.000119445245803,18.7828901791,6.07981255118,0.300032892242
7.6,178.792456997,427.792885331,269.288188386,5.59983852631e-07,1.79008289781e-06,0.000102243011486,22.2933587127,7.12644837503,0.407036760114
7.8,124.448011658,294.552473673,184.789354632,4.17198703104e-07,1.32399999977e-06,8.48639583774e-05,26.3234585831,8.35387523948,0.535455378199
8.0,86.2918812658,202.95232674,126.793051268,3.10211476835e-07,9.79174933607e-07,6.83507173718e-05,31.0211476835,9.79174933607,0.683507173718
8.2,59.794067384,139.917089335,86.9510536344,2.30568116854e-07,7.23914308549e-07,5.36110062631e-05,36.54258388,11.4732685955,0.849677188673
8.4,41.4482822013,96.4978326418,59.5601590067,1.7137436802e-07,5.34853319866e-07,4.1175697942e-05,43.0472949737,13.4349079702,1.03428676968
8.6,28.7460415192,66.5633201804,40.719851098,1.27372880584e-07,3.94757477326e-07,3.11369013071e-05,50.7080570947,15.7155782353,1.23958236792
8.8,19.9452666558,45.9083381677,27.759643053,9.46490027936e-08,2.90906983935e-07,2.3282746293e-05,59.7194834604,18.3549898074,1.46904197732
9.0,13.8432288472,31.6457017969,18.8491685099,7.03007468884e-08,2.13909589829e-07,1.72779089469e-05,70.3007468884,21.3909589829,1.72779089469
9.2,9.60947353128,21.791195508,12.7322405428,5.21768031953e-08,1.56826716848e-07,1.27676517829e-05,82.6946601886,24.8553595928,2.02353643945
9.4,6.67012874558,14.9798824541,8.5451051806,3.86815902532e-08,1.14530608368e-07,9.41932291197e-06,97.1637617063,28.7687881153,2.36602694166
9.6,4.62830853105,10.2719617449,5.69201373165,2.86311017217e-08,8.32298290248e-08,6.94702046288e-06,113.982468963,33.1343917387,2.76565866025
9.8,3.20931742347,7.01972615304,3.76005678887,2.11463329933e-08,6.01189548146e-08,5.12401932394e-06,133.424341109,37.9324960828,3.2330376257
10.0,2.22289140988,4.77624800502,2.4612458201,1.55745615385e-08,4.31187640109e-08,3.77951773377e-06,155.745615385,43.1187640109,3.77951773377
10.2,1.53715210581,3.23259622149,1.5938219299,1.1430728739e-08,3.06826642132e-08,2.78738844196e-06,181.164841632,48.6287456381,4.4177129664
10.4,1.06062088039,2.17461113665,1.01704629394,8.35429201359e-09,2.16528253966e-08,2.05487186158e-06,209.850327538,54.3894383175,5.1616047476
10.6,0.72978343148,1.45317295203,0.634661843762,6.07659005164e-09,1.51536653088e-08,1.51374884369e-06,241.913407207,60.3278281959,6.0263426909
10.8,0.500480661797,0.963900421014,0.382826936872,4.39703657494e-09,1.051510258e-08,1.11382368498e-06,277.43425209,66.3458120083,7.02775234494
11.0,0.341943305666,0.633529420422,0.219948536234,3.16493744709e-09,7.22354331369e-09,8.18144029348e-07,316.493744709,72.2354331369,8.18144029348
11.2,0.232663202254,0.410953256448,0.118293160642,2.26614986641e-09,4.8914833918e-09,5.99494587925e-07,359.160549637,77.524787287,9.50134891319
11.4,0.157553269752,0.261217773278,0.0583239024898,1.61359954077e-09,3.23879842486e-09,4.37822916872e-07,405.317879234,81.3549381781,10.9976144429
11.6,0.106019257722,0.161041409272,0.0256811549947,1.14074670909e-09,2.07343683784e-09,3.18349408164e-07,454.139444675,82.5450072834,12.6737182132
11.8,0.0706653277131,0.0950794293233,0.0097677575191,7.97685262361e-10,1.26640949485e-09,2.30176124343e-07,503.30537487,79.9050371894,14.5231316178
12.0,0.0464061464247,0.0529576192117,0.00307564846687,5.48281783544e-10,7.26825543231e-10,1.65262256849e-07,548.281783544,72.6825543231,16.5262256849
12.2,0.029807061756,0.0273204176116,0.000759477774981,3.67403355323e-10,3.84875249209e-10,1.17666144588e-07,582.295076739,60.9986162418,18.6488271541
